Date,Event
01/01/2016,H
29/01/2016,P
29/02/2016,P
25/03/2016,H
31/03/2016,P
10/04/2016,M
29/04/2016,P
02/05/2016,H
08/05/2016,M
30/05/2016,H
31/05/2016,P
06/06/2016,M
23/06/2016,CER
30/06/2016,P
29/07/2016,P
31/08/2016,P
30/09/2016,P
31/10/2016,P
11/11/2016,M
13/11/2016,M
30/11/2016,P
02/12/2016,M
25/12/2016,H
26/12/2016,H
27/12/2016,H
30/12/2016,P
01/01/2017,H
31/01/2017,P
28/02/2017,P
31/03/2017,P
10/04/2017,M
14/04/2017,H
28/04/2017,P
01/05/2017,H
08/05/2017,M
29/05/2017,H
31/05/2017,P
06/06/2017,M
08/06/2017,CER
30/06/2017,P
31/07/2017,P
31/08/2017,P
29/09/2017,P
31/10/2017,P
11/11/2017,M
12/11/2017,M
30/11/2017,P
02/12/2017,M
25/12/2017,H
26/12/2017,H
27/12/2017,H
29/12/2017,P
01/01/2018,H
31/01/2018,P
28/02/2018,P
29/03/2018,P
30/03/2018,H
10/04/2018,M
30/04/2018,P
07/05/2018,H
08/05/2018,M
28/05/2018,H
31/05/2018,P
06/06/2018,M
29/06/2018,P
31/07/2018,P
31/08/2018,P
28/09/2018,P
31/10/2018,P
11/11/2018,M
30/11/2018,P
02/12/2018,M
25/12/2018,H
26/12/2018,H
27/12/2018,H
31/12/2018,P
01/01/2019,H
31/01/2019,P
28/02/2019,P
29/03/2019,P
10/04/2019,M
19/04/2019,H
30/04/2019,P
06/05/2019,H
08/05/2019,M
27/05/2019,H
31/05/2019,P
06/06/2019,M
28/06/2019,P
31/07/2019,P
30/08/2019,P
30/09/2019,P
31/10/2019,P
10/11/2019,M
11/11/2019,M
29/11/2019,P
02/12/2019,M
12/12/2019,CER
25/12/2019,H
26/12/2019,H
27/12/2019,H
31/12/2019,P
01/01/2020,H
31/01/2020,CER P
28/02/2020,P
31/03/2020,P
10/04/2020,H M
30/04/2020,P
04/05/2020,H
08/05/2020,M
25/05/2020,H
29/05/2020,P
06/06/2020,M
30/06/2020,P
31/07/2020,P
31/08/2020,P
30/09/2020,P
30/10/2020,P
08/11/2020,M
11/11/2020,M
30/11/2020,P
02/12/2020,M
25/12/2020,H
26/12/2020,H
27/12/2020,H
31/12/2020,P
01/01/2021,H
29/01/2021,P
26/02/2021,P
31/03/2021,P
02/04/2021,H
10/04/2021,M
30/04/2021,P
03/05/2021,H
08/05/2021,M
31/05/2021,H P
06/06/2021,M
30/06/2021,P
30/07/2021,P
31/08/2021,P
30/09/2021,P
29/10/2021,P
11/11/2021,M
14/11/2021,M
30/11/2021,P
02/12/2021,M
25/12/2021,H
26/12/2021,H
27/12/2021,H
31/12/2021,P
01/01/2022,H
31/01/2022,P
28/02/2022,P
31/03/2022,P
10/04/2022,M
15/04/2022,H
29/04/2022,P
02/05/2022,H
08/05/2022,M
31/05/2022,P
02/06/2022,H
03/06/2022,H
06/06/2022,M
30/06/2022,P
29/07/2022,P
31/08/2022,P
19/09/2022,H
30/09/2022,P
31/10/2022,P
11/11/2022,M
13/11/2022,M
30/11/2022,P
02/12/2022,M
25/12/2022,H
26/12/2022,H
27/12/2022,H
30/12/2022,P
01/01/2023,H
31/01/2023,P
28/02/2023,P
31/03/2023,P
07/04/2023,H
10/04/2023,M
28/04/2023,P
01/05/2023,H
06/05/2023,CER
08/05/2023,H M
29/05/2023,H
31/05/2023,P
06/06/2023,M
30/06/2023,P
31/07/2023,P
31/08/2023,P
29/09/2023,P
31/10/2023,P
11/11/2023,M
12/11/2023,M
30/11/2023,P
02/12/2023,M
25/12/2023,H
26/12/2023,H
27/12/2023,H
29/12/2023,P
01/01/2024,H
31/01/2024,P
29/02/2024,P
29/03/2024,H P
10/04/2024,M
30/04/2024,P
06/05/2024,H
08/05/2024,M
27/05/2024,H
31/05/2024,P
06/06/2024,M
28/06/2024,P
04/07/2024,CER
31/07/2024,P
30/08/2024,P
30/09/2024,P
31/10/2024,P
10/11/2024,M
11/11/2024,M
29/11/2024,P
02/12/2024,M
25/12/2024,H
26/12/2024,H
27/12/2024,H
31/12/2024,P
01/01/2025,H
31/01/2025,P
28/02/2025,P
