ID,Date,Attack,Target Class,Attack Class,Country,Initial Access
1,02/01/2016,DDoS,Single Individual,H,US,N/A
2,03/01/2016,DDoS,Government,H,SA,N/A
3,03/01/2016,Unknown,Education,H,IN,N/A
4,04/01/2016,DDoS,Government,H,SA,N/A
5,05/01/2016,DDoS,Law Enforcement,H,TH,N/A
6,05/01/2016,Account Hijacking,Industry: Web Hosting,CC,US,N/A
7,05/01/2016,Unknown,Organization: Political Party,CC,US,N/A
8,05/01/2016,Account Hijacking,Single Individuals,CC,CN,N/A
9,05/01/2016,Account Hijacking,Single Individual,CW,LB,N/A
10,05/01/2016,Unknown,Social Network,CC,UA,N/A
11,05/01/2016,SQLi,Industry: recruiting,CC,BR,N/A
12,06/01/2016,Unknown,Industry: Computer Hardware,CC,US,N/A
13,06/01/2016,Malvertising,News,CC,US,N/A
14,06/01/2016,Defacement,Government,H,UG,N/A
15,06/01/2016,SQLi,Organization: Politics,CC,N/A,N/A
16,07/01/2016,Account Hijacking,Industry: Telco,CC,US,N/A
17,07/01/2016,Malware,Single Individuals,CC,JP,N/A
18,07/01/2016,Unknown,Online Services,CC,US,N/A
19,08/01/2016,DDoS,Government,H,NG,N/A
20,08/01/2016,Defacement,Government,CW,PK,N/A
21,08/01/2016,Unknown,Education,CC,IN,N/A
22,08/01/2016,SQLi,Industry: Web Hosting,CC,CY,N/A
23,09/01/2016,Unknown,Industry: Web Hosting,CC,NL,N/A
24,09/01/2016,Unknown,Online Services,CC,FR,N/A
25,10/01/2016,Account Hijacking,Single Individual,CC,UK,N/A
26,10/01/2016,Unknown,Industry: Car Breathalyzer,CC,US,N/A
27,10/01/2016,Unknown,News,CC,FR,N/A
28,10/01/2016,Unknown,Social Network,CC,CA,N/A
29,11/01/2016,SQLi,Industry: Entertainment,CC,UK,N/A
30,11/01/2016,Account Hijacking,Single Individual,H,US,N/A
31,11/01/2016,Unknown,Industry: Software,CC,US,N/A
32,11/01/2016,DDoS,Government,CC,US,N/A
33,11/01/2016,Account Hijacking,Healthcare,CC,US,N/A
34,12/01/2016,Defacement,>1,CC,KH,N/A
35,13/01/2016,DDoS,Industry: Automaker,H,JP,N/A
36,13/01/2016,DDoS,Government,H,TH,N/A
37,13/01/2016,Unknown,Industry: Software,CC,US,N/A
38,13/01/2016,Unknown,News,H,US,N/A
39,13/01/2016,Unknown,Industry: Software,CC,US,N/A
40,14/01/2016,Account Hijacking,Single Individual,H,US,N/A
41,14/01/2016,Unknown,Education,CC,JP,N/A
42,14/01/2016,Unknown,Healthcare,CC,US,N/A
43,14/01/2016,Unknown,Government,H,TH,N/A
44,14/01/2016,Unknown,Industry: Control Instruments,CC,TR,N/A
45,15/01/2016,Code Backdoor,Cryptocoin Exchange,CC,US,N/A
46,16/01/2016,Targeted Attack,Airport,CW,UA,N/A
47,16/01/2016,Defacement,Government,H,RU,N/A
48,16/01/2016,DDoS,Torrent Tracker,CC,N/A,N/A
49,16/01/2016,Unknown,Online Services,CC,US,N/A
50,18/01/2016,DDoS,Forum,CC,IE,N/A
