ID,Date,Attack,Target Class,Attack Class,Alpha 2,Initial Access,Event,WCCI Rank,Country,WCI Score
1,02/01/2016,DDoS,Single Individual,H,US,,,4.0,United States,25.01
3,03/01/2016,Unknown,Education,H,IN,,,10.0,India,6.13
5,05/01/2016,DDoS,Law Enforcement,H,TH,,,32.0,Thailand,1.0
6,05/01/2016,Account Hijacking,Industry: Web Hosting,CC,US,,,4.0,United States,25.01
7,05/01/2016,Unknown,Organization: Political Party,CC,US,,,4.0,United States,25.01
8,05/01/2016,Account Hijacking,Single Individuals,CC,CN,,,3.0,China,27.86
9,05/01/2016,Account Hijacking,Single Individual,CW,LB,,,61.0,Lebanon,0.33
10,05/01/2016,Unknown,Social Network,CC,UA,,,2.0,Ukraine,36.44
11,05/01/2016,SQLi,Industry: recruiting,CC,BR,,,9.0,Brazil,8.93
12,06/01/2016,Unknown,Industry: Computer Hardware,CC,US,,,4.0,United States,25.01
13,06/01/2016,Malvertising,News,CC,US,,,4.0,United States,25.01
14,06/01/2016,Defacement,Government,H,UG,,,74.0,Uganda,0.19
16,07/01/2016,Account Hijacking,Industry: Telco,CC,US,,,4.0,United States,25.01
17,07/01/2016,Malware,Single Individuals,CC,JP,,,93.0,Japan,0.11
18,07/01/2016,Unknown,Online Services,CC,US,,,4.0,United States,25.01
19,08/01/2016,DDoS,Government,H,NG,,,5.0,Nigeria,21.28
20,08/01/2016,Defacement,Government,CW,PK,,,44.0,Pakistan,0.51
21,08/01/2016,Unknown,Education,CC,IN,,,10.0,India,6.13
22,08/01/2016,SQLi,Industry: Web Hosting,CC,CY,,,42.0,Cyprus,0.52
23,09/01/2016,Unknown,Industry: Web Hosting,CC,NL,,,19.0,Netherlands,1.92
24,09/01/2016,Unknown,Online Services,CC,FR,,,29.0,France,1.17
26,10/01/2016,Unknown,Industry: Car Breathalyzer,CC,US,,,4.0,United States,25.01
27,10/01/2016,Unknown,News,CC,FR,,,29.0,France,1.17
28,10/01/2016,Unknown,Social Network,CC,CA,,,25.0,Canada,1.34
30,11/01/2016,Account Hijacking,Single Individual,H,US,,,4.0,United States,25.01
31,11/01/2016,Unknown,Industry: Software,CC,US,,,4.0,United States,25.01
32,11/01/2016,DDoS,Government,CC,US,,,4.0,United States,25.01
33,11/01/2016,Account Hijacking,Healthcare,CC,US,,,4.0,United States,25.01
34,12/01/2016,Defacement,>1,CC,KH,,,51.0,Cambodia,0.42
35,13/01/2016,DDoS,Industry: Automaker,H,JP,,,93.0,Japan,0.11
36,13/01/2016,DDoS,Government,H,TH,,,32.0,Thailand,1.0
37,13/01/2016,Unknown,Industry: Software,CC,US,,,4.0,United States,25.01
38,13/01/2016,Unknown,News,H,US,,,4.0,United States,25.01
39,13/01/2016,Unknown,Industry: Software,CC,US,,,4.0,United States,25.01
40,14/01/2016,Account Hijacking,Single Individual,H,US,,,4.0,United States,25.01
41,14/01/2016,Unknown,Education,CC,JP,,,93.0,Japan,0.11
42,14/01/2016,Unknown,Healthcare,CC,US,,,4.0,United States,25.01
43,14/01/2016,Unknown,Government,H,TH,,,32.0,Thailand,1.0
44,14/01/2016,Unknown,Industry: Control Instruments,CC,TR,,,28.0,Turkey,1.22
45,15/01/2016,Code Backdoor,Cryptocoin Exchange,CC,US,,,4.0,United States,25.01
46,16/01/2016,Targeted Attack,Airport,CW,UA,,,2.0,Ukraine,36.44
47,16/01/2016,Defacement,Government,H,RU,,,1.0,Russia,58.39
49,16/01/2016,Unknown,Online Services,CC,US,,,4.0,United States,25.01
51,18/01/2016,Defacement,Education,H,CN,,,3.0,China,27.86
52,18/01/2016,Account Hijacking,Single Individual,CC,US,,,4.0,United States,25.01
53,18/01/2016,DDoS,Government,H,IR,,,11.0,Iran,4.78
54,19/01/2016,Account Hijacking,Finance,CC,BE,,,76.0,Belgium,0.18
56,19/01/2016,Malware,Healthcare,CC,AU,,,34.0,Australia,0.95
57,19/01/2016,Malvertising,Industry: Software,CC,US,,,4.0,United States,25.01
59,19/01/2016,Defacement,Finance,H,RU,,,1.0,Russia,58.39
61,20/01/2016,Targeted Attack,Utilities,CW,UA,,,2.0,Ukraine,36.44
62,20/01/2016,DDoS,Industry: Entertainment,CC,KR,,,36.0,South Korea,0.79
63,21/01/2016,DDoS,Healthcare,H,US,,,4.0,United States,25.01
65,22/01/2016,DDoS,Government,H,US,,,4.0,United States,25.01
66,22/01/2016,Account Hijacking,Finance,CC,US,,,4.0,United States,25.01
69,22/01/2016,Defacement,Single Individual,CW,IR,,,11.0,Iran,4.78
70,23/01/2016,DDoS,Airport,H,JP,,,93.0,Japan,0.11
71,23/01/2016,Unknown,Forum,CC,US,,,4.0,United States,25.01
72,23/01/2016,Unknown,Law Enforcement,H,US,,,4.0,United States,25.01
73,23/01/2016,Unknown,Industry: Automotive,CC,RU,,,1.0,Russia,58.39
74,23/01/2016,Unknown,Online Services,CC,JP,,,93.0,Japan,0.11
76,24/01/2016,Unknown,Finance,CC,IL,,,16.0,Israel,2.51
77,24/01/2016,Unknown,Industry: Automotive,CC,IT,,,35.0,Italy,0.8
78,25/01/2016,Targeted Attack,Activists Groups,CE,CN,,,3.0,China,27.86
79,25/01/2016,Defacement,Org: Politics,H,US,,,4.0,United States,25.01
80,25/01/2016,Account Hijacking,Single Individual,CC,US,,,4.0,United States,25.01
81,26/01/2016,Targeted Attack,Utilities,CC,IL,,,16.0,Israel,2.51
82,26/01/2016,Unknown,Law Enforcement,CC,US,,,4.0,United States,25.01
83,26/01/2016,HTML redirection,"Education
Government",CE,US,,,4.0,United States,25.01
86,27/01/2016,Unknown,Industry: Restaurant,CC,US,,,4.0,United States,25.01
87,28/01/2016,Unknown,Industry: Software,CC,US,,,4.0,United States,25.01
89,28/01/2016,DDoS,Law Enforcement,H,TH,,,32.0,Thailand,1.0
90,28/01/2016,DDoS,Government,CW,AZ,,,87.0,Azerbaijan,0.13
91,28/01/2016,Unknown,Online Services,CC,CA,,,25.0,Canada,1.34
93,29/01/2016,Unknown,Industry: Retail,CC,US,,P,4.0,United States,25.01
94,30/01/2016,Unknown,Government,H,CO,,,37.0,Colombia,0.7
95,30/01/2016,DDoS,Online Services,CC,NL,,,19.0,Netherlands,1.92
96,31/01/2016,Malware,Government,H,US,,,4.0,United States,25.01
97,01/02/2016,Unknown,Industry: Entertainment,CC,US,,,4.0,United States,25.01
99,03/02/2016,Account Hijacking,Healthcare,CC,US,,,4.0,United States,25.01
100,03/02/2016,Unknown,Law Enforcement,H,TH,,,32.0,Thailand,1.0
101,04/02/2016,Unknown,Education,CC,US,,,4.0,United States,25.01
102,04/02/2016,Unknown,Single Individual,H,US,,,4.0,United States,25.01
103,04/02/2016,Unknown,Finance,CC,RU,,,1.0,Russia,58.39
104,04/02/2016,Unknown,Industry: Cycling Equipment,CC,IT,,,35.0,Italy,0.8
105,05/02/2016,Account Hijacking,Industry: E-Commerce,CC,CN,,,3.0,China,27.86
107,05/02/2016,SQLi,Online Services,CC,US,,,4.0,United States,25.01
108,05/02/2016,SQLi,Online Services,CC,US,,,4.0,United States,25.01
109,06/02/2016,SQLi,Bitcoin Exchange,CC,US,,,4.0,United States,25.01
111,06/02/2016,Unknown,Government,H,UG,,,74.0,Uganda,0.19
113,07/02/2016,Account Hijacking,Government,H,US,,,4.0,United States,25.01
114,08/02/2016,Account Hijacking,Law Enforcement,H,US,,,4.0,United States,25.01
115,08/02/2016,Targeted Attack,Finance,CC,RU,,,1.0,Russia,58.39
117,08/02/2016,Malware,Finance,CC,CY,,,42.0,Cyprus,0.52
118,09/02/2016,Brute Force,Government,CC,US,,,4.0,United States,25.01
119,09/02/2016,Targeted Attack,Single Individuals,CE,IL,,,16.0,Israel,2.51
122,10/02/2016,Unknown,Government,H,CL,,,54.0,Chile,0.38
125,11/02/2016,Targeted Attack,"Industry: Mining
Railway Operator",CW,UA,,,2.0,Ukraine,36.44
126,11/02/2016,Unknown,Industry: Job Seeking,H,ZA,,,14.0,South Africa,2.58
127,11/02/2016,Unknown,Online Services,CC,US,,,4.0,United States,25.01
128,12/02/2016,SQLi,Government,H,ZA,,,14.0,South Africa,2.58
129,12/02/2016,Defacement,Industry: ISP,H,ZA,,,14.0,South Africa,2.58
131,12/02/2016,SQLi,Online Services,CC,US,,,4.0,United States,25.01
132,15/02/2016,Unknown,Law Enforcement,CC,TR,,,28.0,Turkey,1.22
136,15/02/2016,Unknown,Government,H,ZA,,,14.0,South Africa,2.58
138,15/02/2016,DDoS,Industry: Software,CC,US,,,4.0,United States,25.01
